"expression","example_fr","example_en"
"f.o.-d.o.-s.u.-'","focal","focal"
"f.o.-f.o.-s.u.-'","vivant","living"
"f.o.-l.o.-s.u.-'","organisé","organised"
"l.o.-s.o.-s.u.-'","exploré","explored"
"l.o.-b.o.-s.u.-'","composé","composed"
"l.o.-t.o.-s.u.-'","loin","far"
"l.o.-m.o.-s.u.-'","libre","free"
"l.o.-n.o.-s.u.-'","spatial","spatial"
"l.o.-d.o.-s.u.-'","orienté","in lign | directed"
"l.o.-f.o.-s.u.-'","résidant","resident"
"l.o.-l.o.-s.u.-'","complexe","complex"
"s.e.-s.u.-wa.e.-'","(compétence en) dessin | (compétence en) peinture","(competence in) drawing | (competence in) painting"
"b.e.-s.u.-wa.e.-'","(compétence en) raffinement visuel","(competence in) visual refinement"
"t.e.-s.u.-wa.e.-'","(compétence en) création d'image | (compétence en) design graphique","(competence in) image creation | (competence in) graphic design"
"k.e.-s.a.-wa.e.-'","(compétence en) compréhension de soi-même","(competence in) understanding oneself"
"m.e.-s.a.-wa.e.-'","(compétence en) compréhension d'autrui","(competence in) understanding others"
"n.e.-s.a.-wa.e.-'","(compétence en) indication du sens à un groupe","(competence in) giving meaning to a group"
"d.e.-s.i.-wa.e.-'","(compétence en) inventivité pratique","(competence in) pratical ingenuity"
"f.e.-s.i.-wa.e.-'","(compétence en les) disciplines corps-esprit","(competence in the) body-mind disciplines"
"l.e.-s.i.-wa.e.-'","(compétence en) interconnection de systèmes","(competence in) interconnecting systems"
"s.e.-b.u.-wa.e.-'","(compétence en) maîtrise d'une deuxième langue","(competence in) mastering a second language"
"b.e.-b.u.-wa.e.-'","(compétence en) interprétariat | (compétence en) guidage","(competence in) interpreting | (competence in) guiding"
"t.e.-b.u.-wa.e.-'","(compétence en) éloquence","(competence in) eloquence"
"k.e.-b.a.-wa.e.-'","(compétence en) parole sincère","(competence in) speaking sincerely"
"m.e.-b.a.-wa.e.-'","(compétence en) paroles sages","(competence in) speaking wisely"
"n.e.-b.a.-wa.e.-'","(compétence en) représentation d'un groupe","(competence in) representing a group"
"d.e.-b.i.-wa.e.-'","(compétence en la) maîtrise techniques de communication","(competence in the) mastery of communication techniques"
"f.e.-b.i.-wa.e.-'","(compétence en) danse","(competence in) dancing"
"l.e.-b.i.-wa.e.-'","(compétence en) ingénierie informatique","(competence in) computer engineering"
"s.e.-t.u.-wa.e.-'","(compétence en) énumération | (compétence en) calcul","(competence in) counting | (competence in) calculating"
"b.e.-t.u.-wa.e.-'","(compétence en) logique | (compétence en) programmation","(competence in) logic | (competence in) programming"
"t.e.-t.u.-wa.e.-'","(compétence en) conception de logiciels","(competence in) software design"
"k.e.-t.a.-wa.e.-'","(compétence en) entraînement de la mémoire","(competence in) memory training"
"m.e.-t.a.-wa.e.-'","(compétence en) fidélité","(competence in) fidelity"
"n.e.-t.a.-wa.e.-'","(compétence en) établissement d'une tradition","(competence in) establishing a tradition"
"d.e.-t.i.-wa.e.-'","(compétence en) maintenance","(competence in) maintenance"
"f.e.-t.i.-wa.e.-'","(compétence en) conduite","(competence in) driving"
"l.e.-t.i.-wa.e.-'","(compétence en) conception de véhicules","(competence in) vehicle design"
"s.e.-k.u.-wa.e.-'","(compétence en) lecture | (compétence en) écriture","(competence in) reading | (competence in) writing"
"b.e.-k.u.-wa.e.-'","(compétence en) interprétation personnelle","(competence in) personal interpretation"
"t.e.-k.u.-wa.e.-'","(compétence en) création de symboles","(competence in) symbol creation"
"k.e.-k.a.-wa.e.-'","(compétence en) adhésion à une discipline","(competence in) following a discipline"
"m.e.-k.a.-wa.e.-'","(compétence en) attitude collaborative","(competence in) collaborative attitude"
"n.e.-k.a.-wa.e.-'","(compétence en) don de soi en exemple","(competence in) giving oneself as example"
"d.e.-k.i.-wa.e.-'","(compétence en) savoir-faire commercial","(competence in) commercial know-how"
"f.e.-k.i.-wa.e.-'","(compétence en) sports d'équipe","(competence in) team sports"
"l.e.-k.i.-wa.e.-'","(compétence en) élaboration de stratégies commerciales","(competence in) elaborating commercial strategies"
"b.e.-m.u.-wa.e.-'","(compétence en la) culture des arts de la scène","(competence in the) performing arts culture"
"t.e.-m.u.-wa.e.-'","(compétence en) mise en scène | (compétence en) direction artistique","(competence in) staging | (competence in) artistic direction"
"k.e.-m.a.-wa.e.-'","(compétence en) amitié avec soi-même","(competence in) friendship with oneself"
"m.e.-m.a.-wa.e.-'","(compétence en) sollicitude","(competence in) concern"
"n.e.-m.a.-wa.e.-'","(compétence en) inspiration de l'harmonie","(competence in) inspiring harmony"
"d.e.-m.i.-wa.e.-'","(compétence en) esthétique | (compétence en) mode","(competence in) esthetics | (competence in) fashion"
"f.e.-m.i.-wa.e.-'","(compétence en) subtilité des sens","(competence in) subtlety of the senses"
"l.e.-m.i.-wa.e.-'","(compétence en) art","(competence in) art"
"s.e.-n.u.-wa.e.-'","(compétence en) vocabulaire","(competence in) vocabulary"
"b.e.-n.u.-wa.e.-'","(compétence en) érudition littéraire","(competence in) literary erudition"
"t.e.-n.u.-wa.e.-'","(compétence en) écriture littéraire","(competence in) literary writing"
"k.e.-n.a.-wa.e.-'","(compétence en) auto-évaluation","(competence in) self-evaluation"
"m.e.-n.a.-wa.e.-'","(compétence en) jugement moral","(competence in) moral judgement"
"n.e.-n.a.-wa.e.-'","(compétence en) pose de valeurs","(competence in) forging values"
"d.e.-n.i.-wa.e.-'","(compétence en la) maîtrise de la production","(competence in the) mastery of production"
"f.e.-n.i.-wa.e.-'","(compétence en) sports extrêmes","(competence in) extreme sports"
"l.e.-n.i.-wa.e.-'","(compétence en) conception d'outils | (compétence en) conception de machines","(competence in) tool design | (competence in) machine design"
"s.e.-d.u.-wa.e.-'","(compétence en) recherche d'information","(competence in) information search"
"b.e.-d.u.-wa.e.-'","(compétence en) documentation","(competence in) documentation"
"t.e.-d.u.-wa.e.-'","(compétence en) architecture d'information","(competence in) information architecture"
"k.e.-d.a.-wa.e.-'","(compétence en) reconnaissance des faits","(competence in) acknowledging the facts"
"m.e.-d.a.-wa.e.-'","(compétence en) recherche de la vérité","(competence in) truth seeking"
"n.e.-d.a.-wa.e.-'","(compétence en) publication de la vérité","(competence in) releasing the truth"
"d.e.-d.i.-wa.e.-'","(compétence en) contrôle | (compétence en) mesure","(competence in) control | (competence in) measure"
"f.e.-d.i.-wa.e.-'","compétence en sports de tir (de visée)","competence in shooting sports (aiming)"
"l.e.-d.i.-wa.e.-'","(compétence en) métrologie","(competence in) metrology"
"s.e.-f.u.-wa.e.-'","(compétence en) interprétation de musique | (compétence en) chant","(competence in) playing music | (competence in) singing"
"b.e.-f.u.-wa.e.-'","(compétence en) culture musicale","(competence in) musical culture"
"t.e.-f.u.-wa.e.-'","(compétence en) composition de musique","(competence in) composing music"
"k.e.-f.a.-wa.e.-'","(compétence en) soin de soi-même","(competence in) taking care of oneself"
"m.e.-f.a.-wa.e.-","(compétence en) production du bien-être","(competence in) producing well-being"
"n.e.-f.a.-wa.e.-'","(compétence en) guérison","(competence in) healing"
"d.e.-f.i.-wa.e.-'","(compétence en) chirurgie | (compétence en) soins du corps","(competence in) surgery | (competence in) body care"
"f.e.-f.i.-wa.e.-'","(compétence en) athlétisme","(competence in) athletics"
"l.e.-f.i.-wa.e.-'","(compétence en) biotechnologie","(competence in) biotechnology"
"s.e.-l.u.-wa.e.-'","(compétence en) lecture des signes naturels","(competence in) reading natural signs"
"b.e.-l.u.-wa.e.-'","(compétence en) culture scientifique","(competence in) scientific culture"
"t.e.-l.u.-wa.e.-'","(compétence en) recherche scientifique","(competence in) scientific research"
"k.e.-l.a.-wa.e.-'","(compétence en) auto-protection","(competence in) self-protection"
"m.e.-l.a.-wa.e.-'","(compétence en) respect de la loi","(competence in) abiding by law"
"n.e.-l.a.-wa.e.-'","(compétence en) protection d'un groupe","(competence in) protecting a group"
"d.e.-l.i.-wa.e.-'","(compétence en la) maîtrise de la construction","(competence in the) mastery of construction"
"f.e.-l.i.-wa.e.-'","(compétence en) arts martiaux","(competence in) martial arts"
"l.e.-l.i.-wa.e.-'","(compétence en) architecture","(competence in) architecture"
"s.e.-s.u.-'","dessin | peinture","drawing | painting"
"b.e.-s.u.-'","culture visuelle","visual culture"
"t.e.-s.u.-'","design original","original design"
"k.e.-s.a.-'","autonomie psychique","psychic autonomy"
"m.e.-s.a.-'","enseignements d'autrui","teachings from others"
"n.e.-s.a.-'","démarche collective","collective approach"
"d.e.-s.i.-'","solution pratique","practical solution"
"f.e.-s.i.-'","synchronie corps-esprit","body-mind synchrony"
"l.e.-s.i.-'","compatibilité","compatibility"
"s.e.-b.u.-'","ouverture culturelle","cultural openness"
"b.e.-b.u.-'","échange culturel","cultural exchange"
"t.e.-b.u.-'","public conquis","won-over public"
"k.e.-b.a.-'","crédibilité","credibility"
"m.e.-b.a.-'","dialogue","dialogue"
"n.e.-b.a.-'","image de la communauté","community image"
"d.e.-b.i.-'","communication augmentée","augmented communication"
"f.e.-b.i.-'","grâce","grace"
"l.e.-b.i.-'","monde virtuel","virtual world"
"s.e.-t.u.-'","opération arithmétique","arithmetic operation"
"b.e.-t.u.-'","cohérence logique","logical consistency"
"t.e.-t.u.-'","cognition augmentée","augmented cognition"
"k.e.-t.a.-'","mémoire personnelle","personal memory"
"m.e.-t.a.-'","force des liens personnels","strength of personal ties"
"n.e.-t.a.-'","civilisation","civilization"
"d.e.-t.i.-'","matériel bien entretenu","well-maintained material"
"f.e.-t.i.-'","conduite sûre","safe driving"
"l.e.-t.i.-'","système de transport","transport system"
"s.e.-k.u.-'","lecture | écriture","reading | writing"
"b.e.-k.u.-'","appropriation intellectuelle","intellectual appropriation"
"t.e.-k.u.-'","symbole original","original symbol"
"k.e.-k.a.-'","performance","performance"
"m.e.-k.a.-'","compétence collective","collective competence"
"n.e.-k.a.-'","transparence des actes","transparency of actions"
"d.e.-k.i.-'","transaction commerciale","commercial transaction"
"f.e.-k.i.-'","esprit d'équipe","team spirit"
"l.e.-k.i.-'","prospérité","prosperity"
"s.e.-m.u.-'","jeu d'acteur","actor's play"
"b.e.-m.u.-'","scène culturelle","cultural scene"
"t.e.-m.u.-'","représentation dramatique","dramatic representation"
"k.e.-m.a.-'","autonomie affective","affective autonomy"
"m.e.-m.a.-'","réciprocité","reciprocity"
"n.e.-m.a.-'","compréhension mutuelle | entente","mutual understanding | harmony"
"d.e.-m.i.-'","code physique | code vestimentaire","body code | dress code"
"f.e.-m.i.-'","goût","taste"
"l.e.-m.i.-'","univers poétique","poetic world"
"s.e.-n.u.-'","distinction sémantique","semantic distinction"
"b.e.-n.u.-'","vie littéraire","literary life"
"t.e.-n.u.-'","texte littéraire","literary text"
"k.e.-n.a.-'","éthique","ethics"
"m.e.-n.a.-'","personne choisie","chosen person"
"n.e.-n.a.-'","raffinement moral","moral refinement"
"d.e.-n.i.-'","industrie","industry"
"f.e.-n.i.-'","survie","survival"
"l.e.-n.i.-'","outil | machine","tool | machine"
"s.e.-d.u.-'","information obtenue","obtained information"
"b.e.-d.u.-'","objet de recherche","research object"
"t.e.-d.u.-'","problématique informationnelle","informational problem"
"k.e.-d.a.-'","jugement","judgement"
"m.e.-d.a.-'","méthode d'investigation","method of investigation"
"n.e.-d.a.-'","information du public","informing the public"
"d.e.-d.i.-'","mesure","measurement"
"f.e.-d.i.-'","geste précis","precise gesture"
"l.e.-d.i.-'","système de coordonnées","coordinate system"
"s.e.-f.u.-'","performance musicale","musical performance"
"b.e.-f.u.-'","scène musicale","music scene"
"t.e.-f.u.-'","musique originale","original music"
"k.e.-f.a.-'","autonomie physique","physical autonomy"
"m.e.-f.a.-'","bien-être","well-being"
"n.e.-f.a.-'","guérison","recovery"
"d.e.-f.i.-'","opération sur le corps","operation on the body"
"f.e.-f.i.-'","performance physique","physical performance"
"l.e.-f.i.-'","bioévolution modifiée","modified bioevolution"
"s.e.-l.u.-'","nature","nature"
"b.e.-l.u.-'","compréhension scientifique","scientific comprehension"
"t.e.-l.u.-'","découverte scientifique","scientific discovery"
"k.e.-l.a.-'","sécurité personnelle","personal security | personal safety"
"m.e.-l.a.-'","force de la loi","power of the law"
"n.e.-l.a.-'","sécurité collective","collective security | collective safety"
"d.e.-l.i.-'","bâtiment public | travaux publics","public building | public works"
"f.e.-l.i.-'","combat","fight"
"l.e.-l.i.-'","structuration de l'espace","space structuring"
"s.a.-s.a.-'","ordre symbolique","symbolic order"
"b.a.-s.a.-'","lecture","reading"
"t.a.-s.a.-'","traduction","translation"
"k.a.-s.a.-'","diplomatie","diplomacy"
"m.a.-s.a.-'","médiation","mediation"
"n.a.-s.a.-'","majorité","majority"
"d.a.-s.a.-'","études","studies"
"f.a.-s.a.-'","consultation","consultation"
"l.a.-s.a.-'","management | gestion","management"
"s.a.-b.a.-'","rôle","role"
"b.a.-b.a.-'","littérature","literature"
"t.a.-b.a.-'","édition | publication","editing | publishing"
"k.a.-b.a.-'","spectacle","show"
"m.a.-b.a.-'","jeu","game"
"n.a.-b.a.-'","nouvelle","news"
"d.a.-b.a.-'","production de spectacle","show production"
"f.a.-b.a.-'","concert","﻿﻿concert"
"l.a.-b.a.-'","réputation","reputation"
"s.a.-t.a.-'","donnée","data"
"b.a.-t.a.-'","comptes","accounts"
"t.a.-t.a.-'","fondation","foundation"
"k.a.-t.a.-'","administration | bureau","administration | office"
"m.a.-t.a.-'","contrat","contract"
"n.a.-t.a.-'","procès","trial"
"d.a.-t.a.-'","épargne","savings"
"f.a.-t.a.-'","assurance","insurance"
"l.a.-t.a.-'","atlas","atlas"
"s.a.-k.a.-'","parlement","parliament"
"b.a.-k.a.-'","action politique","political action"
"t.a.-k.a.-'","fonction publique","public service"
"k.a.-k.a.-'","cité | unité politique","city | political unit"
"m.a.-k.a.-'","voisin","neighbour"
"n.a.-k.a.-'","réforme","reform"
"d.a.-k.a.-'","inspection","inspection"
"f.a.-k.a.-'","accueil | hospitalité","welcome | hospitality"
"l.a.-k.a.-'","armée","army"
"s.a.-m.a.-'","mariage","marriage"
"b.a.-m.a.-'","érotisme","erotism"
"t.a.-m.a.-'","ascendance","ancestry"
"k.a.-m.a.-'","fraternité","fraternity"
"m.a.-m.a.-'","famille","family"
"n.a.-m.a.-'","homme","man"
"d.a.-m.a.-'","descendance","descendants"
"f.a.-m.a.-'","femme","woman"
"l.a.-m.a.-'","alliance","alliance"
"s.a.-n.a.-'","avancée","advance"
"b.a.-n.a.-'","accusation","accusation"
"t.a.-n.a.-'","loi","law"
"k.a.-n.a.-'","tribunal","tribunal"
"m.a.-n.a.-'","cause","cause"
"n.a.-n.a.-'","communauté spirituelle","spiritual community"
"d.a.-n.a.-'","témoignage","testimony"
"f.a.-n.a.-'","protection sociale","social protection"
"l.a.-n.a.-'","défense","defense"
"s.a.-d.a.-'","conseil personnel","personal advice"
"b.a.-d.a.-'","publicité","advertizement"
"t.a.-d.a.-'","investissement","investment"
"k.a.-d.a.-'","vente","sale"
"m.a.-d.a.-'","partenariat","partnership"
"n.a.-d.a.-'","achat","purchase"
"d.a.-d.a.-'","invention","invention"
"f.a.-d.a.-'","réparation","repair"
"l.a.-d.a.-'","compagnie | entreprise","company | business"
"s.a.-f.a.-'","psychothérapie","psychotherapy"
"b.a.-f.a.-'","soin","care"
"t.a.-f.a.-'","pharmacie","pharmacy"
"k.a.-f.a.-'","repas","meal"
"m.a.-f.a.-'","aide","help"
"n.a.-f.a.-'","maladie","illness"
"d.a.-f.a.-'","leçon","lesson"
"f.a.-f.a.-'","culture | élevage","growing | farming"
"l.a.-f.a.-'","environnement naturel","natural environment"
"s.a.-l.a.-'","innovation","innovation"
"b.a.-l.a.-'","transport","transportation"
"t.a.-l.a.-'","archive","archive"
"k.a.-l.a.-'","syndicat","(trade) union"
"m.a.-l.a.-'","fabrication","manufacturing"
"n.a.-l.a.-'","ordre public","public order"
"d.a.-l.a.-'","renseignement","intelligence | gathering data"
"f.a.-l.a.-'","désastre","disaster"
"l.a.-l.a.-'","guerre","war"
"s.a.-s.a.-f.o.-'","philosophe","philosopher"
"b.a.-s.a.-f.o.-'","lecteur","reader"
"t.a.-s.a.-f.o.-'","traducteur","translator"
"k.a.-s.a.-f.o.-'","diplomate","diplomat"
"m.a.-s.a.-f.o.-'","médiateur","mediator"
"n.a.-s.a.-f.o.-'","adulte","adult"
"d.a.-s.a.-f.o.-'","étudiant","student"
"f.a.-s.a.-f.o.-'","consultant","consultant"
"l.a.-s.a.-f.o.-'","manager","manager"
"s.a.-b.a.-f.o.-'","acteur","actor"
"b.a.-b.a.-f.o.-'","auteur","author"
"t.a.-b.a.-f.o.-'","éditeur","editor | publisher"
"k.a.-b.a.-f.o.-'","spectateur","spectator"
"m.a.-b.a.-f.o.-'","joueur","player"
"n.a.-b.a.-f.o.-'","journaliste","journalist"
"d.a.-b.a.-f.o.-'","producteur","producer"
"f.a.-b.a.-f.o.-'","musicien","musician"
"l.a.-b.a.-f.o.-'","spécialiste des relations publiques","public relations specialist"
"s.a.-t.a.-f.o.-'","informaticien","computer scientist"
"b.a.-t.a.-f.o.-'","comptable","accountant"
"t.a.-t.a.-f.o.-'","fondateur","founder"
"k.a.-t.a.-f.o.-'","secrétaire","secretary"
"m.a.-t.a.-f.o.-'","notaire","notary"
"n.a.-t.a.-f.o.-'","avocat","lawyer"
"d.a.-t.a.-f.o.-'","banquier","banker"
"f.a.-t.a.-f.o.-'","assureur","insurance broker"
"l.a.-t.a.-f.o.-'","cartographe","cartographer"
"s.a.-k.a.-f.o.-'","politicien","politician"
"b.a.-k.a.-f.o.-'","activiste","activist"
"t.a.-k.a.-f.o.-'","fonctionnaire","public servant"
"k.a.-k.a.-f.o.-'","citoyen","citizen"
"m.a.-k.a.-f.o.-'","voisin","neighbor"
"n.a.-k.a.-f.o.-'","réformateur","reformer"
"d.a.-k.a.-f.o.-'","inspecteur","inspector"
"f.a.-k.a.-f.o.-'","hôte","host"
"l.a.-k.a.-f.o.-'","officier","officer"
"s.a.-m.a.-f.o.-'","époux","spouse"
"b.a.-m.a.-f.o.-'","amant","lover"
"t.a.-m.a.-f.o.-'","ancêtre","ancestor"
"k.a.-m.a.-f.o.-'","frère | soeur","brother | sister"
"n.a.-m.a.-f.o.-'","père","father"
"d.a.-m.a.-f.o.-'","enfant","child"
"f.a.-m.a.-f.o.-'","mère","mother"
"l.a.-m.a.-f.o.-'","allié","ally"
"s.a.-n.a.-f.o.-'","précurseur","precursor"
"b.a.-n.a.-f.o.-'","procureur","prosecutor"
"t.a.-n.a.-f.o.-'","législateur","legislator"
"k.a.-n.a.-f.o.-'","juré","jury"
"m.a.-n.a.-f.o.-'","bénévole","volunteer"
"n.a.-n.a.-f.o.-'","guide spirituel","spiritual guide"
"d.a.-n.a.-f.o.-'","témoin","witness"
"f.a.-n.a.-f.o.-'","travailleur social","social worker"
"l.a.-n.a.-f.o.-'","défenseur","defender"
"s.a.-d.a.-f.o.-'","mentor","mentor"
"b.a.-d.a.-f.o.-'","publicitaire","advertiser"
"t.a.-d.a.-f.o.-'","investisseur","investor"
"k.a.-d.a.-f.o.-'","vendeur","vendor"
"m.a.-d.a.-f.o.-'","partenaire","partner"
"n.a.-d.a.-f.o.-'","client","customer"
"d.a.-d.a.-f.o.-'","inventeur","inventor"
"f.a.-d.a.-f.o.-'","technicien","technician"
"l.a.-d.a.-f.o.-'","entrepreneur","entrepreneur"
"s.a.-f.a.-f.o.-'","psychologue","psychologist"
"b.a.-f.a.-f.o.-'","infirmier | soignant","nurse | caregiver"
"t.a.-f.a.-f.o.-'","pharmacien","pharmacist"
"k.a.-f.a.-f.o.-'","pourvoyeur","provider"
"m.a.-f.a.-f.o.-'","aidant","helper"
"n.a.-f.a.-f.o.-'","médecin","physician"
"d.a.-f.a.-f.o.-'","enseignant","teacher"
"f.a.-f.a.-f.o.-'","cultivateur | éleveur","farmer"
"l.a.-f.a.-f.o.-'","écologiste | environnementaliste","ecologist | environmentalist"
"s.a.-l.a.-f.o.-'","innovateur","innovator"
"b.a.-l.a.-f.o.-'","transporteur","carrier"
"t.a.-l.a.-f.o.-'","archiviste","archivist"
"k.a.-l.a.-f.o.-'","syndiqué","unionized"
"m.a.-l.a.-f.o.-'","ouvrier","blue-collar worker"
"n.a.-l.a.-f.o.-'","policier","police officer"
"d.a.-l.a.-f.o.-'","agent de renseignements","intelligence agent"
"f.a.-l.a.-f.o.-'","secouriste","rescuer"
"l.a.-l.a.-f.o.-'","guerrier","warrior"
"M:M:.u.-M:M:.u.-'","fonctions sémiotiques","semiotic functions"
"s.u.-s.u.-'","idée","idea"
"b.u.-s.u.-'","métaphore | ressemblance","metaphor | similarity"
"t.u.-s.u.-'","caractère | typographie","character | typography"
"k.u.-s.u.-'","mandala","mandala"
"m.u.-s.u.-'","fantasme","fantasy"
"n.u.-s.u.-'","forme d'ensemble | structure d'ensemble","overall form | overall structure"
"d.u.-s.u.-'","carte","map"
"f.u.-s.u.-'","image mentale","mental image"
"l.u.-s.u.-'","moule","mold"
"s.u.-b.u.-'","phrase","phrase"
"b.u.-b.u.-'","hypertexte","hypertext"
"t.u.-b.u.-'","texte","text"
"k.u.-b.u.-'","révélation","revelation"
"m.u.-b.u.-'","sortilège","spell"
"n.u.-b.u.-'","proposition | affirmation","proposition | assertion"
"d.u.-b.u.-'","avertissement","warning"
"f.u.-b.u.-'","accent","accent"
"l.u.-b.u.-'","transcription","transcription"
"s.u.-t.u.-'","idéogramme","ideogram"
"b.u.-t.u.-'","instruction","instruction"
"t.u.-t.u.-'","nombre","number"
"k.u.-t.u.-'","présage | signe divinatoire","omen | divinatory sign"
"m.u.-t.u.-'","masque","mask"
"n.u.-t.u.-'","logo","logo"
"d.u.-t.u.-'","hyperlien","hyperlink"
"f.u.-t.u.-'","note de musique","musical note"
"l.u.-t.u.-'","qualité","quality"
"s.u.-k.u.-'","icône","icon"
"b.u.-k.u.-'","prière","prayer"
"t.u.-k.u.-'","écritures","scriptures"
"k.u.-k.u.-'","divin","divine"
"m.u.-k.u.-'","sacrifice","sacrifice"
"n.u.-k.u.-'","vertu","virtue"
"d.u.-k.u.-'","temple","temple"
"f.u.-k.u.-'","vision","vision"
"l.u.-k.u.-'","miracle","miracle"
"s.u.-m.u.-'","rêve","dream"
"b.u.-m.u.-'","voix","voice"
"t.u.-m.u.-'","son","sound"
"k.u.-m.u.-'","stigmate","stigmata"
"m.u.-m.u.-'","visage","face"
"n.u.-m.u.-'","imitation","imitation"
"d.u.-m.u.-'","réaction physique","physical reaction"
"f.u.-m.u.-'","larme","tear"
"l.u.-m.u.-'","habitude","habit"
"s.u.-n.u.-'","nom commun","common name"
"b.u.-n.u.-'","verbe","verb"
"t.u.-n.u.-'","nom propre","proper name"
"k.u.-n.u.-'","totem","totem"
"m.u.-n.u.-'","sujet","subject"
"n.u.-n.u.-'","question","question"
"d.u.-n.u.-'","déictique","deictic"
"f.u.-n.u.-'","attribut","attribute"
"l.u.-n.u.-'","ocurrence | événement","occurrence | event"
"s.u.-d.u.-'","légende","legend"
"b.u.-d.u.-'","métonymie | partie","metonymy | part"
"t.u.-d.u.-'","index","index"
"k.u.-d.u.-'","aura","aura"
"m.u.-d.u.-'","maquillage","make-up"
"n.u.-d.u.-'","étiquette","tag"
"d.u.-d.u.-'","signal","signal"
"f.u.-d.u.-'","exclamation","exclamation"
"l.u.-d.u.-'","échantillon","sample"
"s.u.-f.u.-'","perception","perception"
"b.u.-f.u.-'","forme littéraire | genre littéraire","literary form | literary genre"
"t.u.-f.u.-'","mélodie","melody"
"k.u.-f.u.-'","sainteté","sanctity | holiness"
"m.u.-f.u.-'","sourire","smile"
"n.u.-f.u.-'","couleur","color"
"d.u.-f.u.-'","présence","presence"
"f.u.-f.u.-'","illusion","illusion"
"l.u.-f.u.-'","grain | texture","grain | texture"
"s.u.-l.u.-'","ombre","shadow"
"b.u.-l.u.-'","citation","quotation"
"t.u.-l.u.-'","photo","photograph"
"k.u.-l.u.-'","relique | dépouille","relic | mortal remains"
"m.u.-l.u.-'","souvenir","memory | recollection"
"n.u.-l.u.-'","piste","trail"
"d.u.-l.u.-'","indice","clue"
"f.u.-l.u.-'","âge","age"
"l.u.-l.u.-'","matière","matter"
"M:M:.u.-M:M:.u.-d.u.-'","qualités sémiotiques","semiotic qualities"
"s.u.-s.u.-d.u.-'","idéal","ideal"
"b.u.-s.u.-d.u.-'","semblable","similar"
"t.u.-s.u.-d.u.-'","imprimé | gravé","printed | engraved"
"k.u.-s.u.-d.u.-'","symétrique","symmetrical"
"m.u.-s.u.-d.u.-'","fantasmé","fantasized"
"n.u.-s.u.-d.u.-'","total | intégral","total | integral"
"d.u.-s.u.-d.u.-'","cartographié","mapped"
"f.u.-s.u.-d.u.-'","imaginé","imagined"
"l.u.-s.u.-d.u.-'","moulé","casted"
"s.u.-b.u.-d.u.-'","énoncé","enunciated"
"b.u.-b.u.-d.u.-'","signifiant","significant"
"t.u.-b.u.-d.u.-'","écrit","written"
"k.u.-b.u.-d.u.-'","révélé","revealed"
"m.u.-b.u.-d.u.-'","ensorcelé","bewitched"
"n.u.-b.u.-d.u.-'","proposé","proposed"
"d.u.-b.u.-d.u.-'","conseillé","advised"
"f.u.-b.u.-d.u.-'","accentué","accentuated"
"l.u.-b.u.-d.u.-'","transcrit","transcribed"
"s.u.-t.u.-d.u.-'","schématisé","schematised"
"b.u.-t.u.-d.u.-'","programmé","programmed"
"t.u.-t.u.-d.u.-'","quantité","quantity"
"k.u.-t.u.-d.u.-'","prémonitoire","premonitory"
"m.u.-t.u.-d.u.-'","masqué | dissimulé","masked | concealed"
"n.u.-t.u.-d.u.-'","emblématique","emblematic"
"d.u.-t.u.-d.u.-'","ancre","anchor"
"f.u.-t.u.-d.u.-'","partition","musical score"
"l.u.-t.u.-d.u.-'","qualitatif","qualitative"
"s.u.-k.u.-d.u.-'","visualisé","visualized"
"b.u.-k.u.-d.u.-'","demandé","asked for"
"t.u.-k.u.-d.u.-'","scriptural","scriptural"
"k.u.-k.u.-d.u.-'","sacré","sacred"
"m.u.-k.u.-d.u.-'","sacrifié","sacrificed"
"n.u.-k.u.-d.u.-'","excellent","excellent"
"d.u.-k.u.-d.u.-'","dressé","erect"
"f.u.-k.u.-d.u.-'","aperçu","glimpsed"
"l.u.-k.u.-d.u.-'","miraculeux","miraculous"
"s.u.-m.u.-d.u.-'","onirique","dream-like"
"b.u.-m.u.-d.u.-'","chant","song"
"t.u.-m.u.-d.u.-'","auditif","auditive"
"k.u.-m.u.-d.u.-'","stigmatisé","stigmatized"
"m.u.-m.u.-d.u.-'","autre","other"
"n.u.-m.u.-d.u.-'","imité","imitated"
"d.u.-m.u.-d.u.-'","réflexe","reflex"
"f.u.-m.u.-d.u.-'","sentimental","sentimental"
"l.u.-m.u.-d.u.-'","habituel","usual"
"s.u.-n.u.-d.u.-'","conceptuel","conceptual"
"b.u.-n.u.-d.u.-'","agissant","acting"
"t.u.-n.u.-d.u.-'","unique","unique"
"k.u.-n.u.-d.u.-'","tribal","tribal"
"m.u.-n.u.-d.u.-'","subjectif","subjective"
"n.u.-n.u.-d.u.-'","inconnu","unknown"
"d.u.-n.u.-d.u.-'","contextuel","contexual"
"f.u.-n.u.-d.u.-'","attribué","attributed"
"l.u.-n.u.-d.u.-'","ayant lieu | survenant","happening | occuring"
"s.u.-d.u.-d.u.-'","repéré","located"
"b.u.-d.u.-d.u.-'","partiel | incomplet","partial | incomplete"
"t.u.-d.u.-d.u.-'","indexé","indexed"
"k.u.-d.u.-d.u.-'","illuminé","illuminated"
"m.u.-d.u.-d.u.-'","maquillé","made-up"
"n.u.-d.u.-d.u.-'","étiqueté","tagged"
"d.u.-d.u.-d.u.-'","saillant","salient"
"f.u.-d.u.-d.u.-'","remarquable","remarkable"
