"I:","information in general","information en general"
"l.e.-f.i.-í","modified bioevolution","bio√©volution modifi√©e"
"s.e.-l.u.-í","nature","nature"
"b.e.-l.u.-í","scientific comprehension","compr√©hension scientifique"
"t.e.-l.u.-í","scientific discovery","d√©couverte scientifique"
"k.e.-l.a.-í","personal security | personal safety","s√©curit√© personnelle"
"m.e.-l.a.-í","power of the law","force de la loi"
"n.e.-l.a.-í","collective security | collective safety","s√©curit√© collective"
"d.e.-l.i.-í","public building | public works","b√¢timent public | travaux publics"
"f.e.-l.i.-í","fight","combat"
"l.e.-l.i.-í","space structuring","structuration de líespace"
"s.a.-s.a.-í","symbolic order","ordre symbolique"
"b.a.-s.a.-í","reading","lecture"
"t.a.-s.a.-í","translation","traduction"
"k.a.-s.a.-í","diplomacy","diplomatie"
"m.a.-s.a.-í","mediation","m√©diation"
"n.a.-s.a.-í","majority","majorit√©"
"d.a.-s.a.-í","studies","√©tudes"
"f.a.-s.a.-í","consultation","consultation"
"l.a.-s.a.-í","management","management | gestion"
"s.a.-b.a.-í","role","r√¥le"
"b.a.-b.a.-í","literature","litt√©rature"
"t.a.-b.a.-í","editing | publishing","√©dition | publication"
"k.a.-b.a.-í","show","spectacle"
"m.a.-b.a.-í","game","jeu"
"n.a.-b.a.-í","news","nouvelle"
"d.a.-b.a.-í","show production","production de spectacle"
"f.a.-b.a.-í","ÔªøÔªøconcert","concert"
"l.a.-b.a.-í","reputation","r√©putation"
"s.a.-t.a.-í","data","donn√©e"
"b.a.-t.a.-í","accounts","comptes"
"t.a.-t.a.-í","foundation","fondation"
"k.a.-t.a.-í","administration | office","administration | bureau"
"m.a.-t.a.-í","contract","contrat"
"n.a.-t.a.-í","trial","proc√®s"
"d.a.-t.a.-í","savings","√©pargne"
"f.a.-t.a.-í","insurance","assurance"
"l.a.-t.a.-í","atlas","atlas"
"s.a.-k.a.-í","parliament","parlement"
"b.a.-k.a.-í","political action","action politique"
"t.a.-k.a.-í","public service","fonction publique"
"k.a.-k.a.-í","city | political unit","cit√© | unit√© politique"
"m.a.-k.a.-í","neighbour","voisin"
"n.a.-k.a.-í","reform","r√©forme"
"d.a.-k.a.-í","inspection","inspection"
"f.a.-k.a.-í","welcome | hospitality","accueil | hospitalit√©"
"l.a.-k.a.-í","army","arm√©e"
"s.a.-m.a.-í","marriage","mariage"
"b.a.-m.a.-í","erotism","√©rotisme"
"t.a.-m.a.-í","ancestry","ascendance"
"k.a.-m.a.-í","fraternity","fraternit√©"
"m.a.-m.a.-í","family","famille"
"n.a.-m.a.-í","man","homme"
"d.a.-m.a.-í","descendants","descendance"
"f.a.-m.a.-í","woman","femme"
"l.a.-m.a.-í","alliance","alliance"
"s.a.-n.a.-í","advance","avanc√©e"
"b.a.-n.a.-í","accusation","accusation"
"t.a.-n.a.-í","law","loi"
"k.a.-n.a.-í","tribunal","tribunal"
"m.a.-n.a.-í","cause","cause"
"n.a.-n.a.-í","spiritual community","communaut√© spirituelle"
"d.a.-n.a.-í","testimony","t√©moignage"
"f.a.-n.a.-í","social protection","protection sociale"
"l.a.-n.a.-í","defense","d√©fense"
"s.a.-d.a.-í","personal advice","conseil personnel"
"b.a.-d.a.-í","advertizement","publicit√©"
"t.a.-d.a.-í","investment","investissement"
"k.a.-d.a.-í","sale","vente"
"m.a.-d.a.-í","partnership","partenariat"
"n.a.-d.a.-í","purchase","achat"
"d.a.-d.a.-í","invention","invention"
"f.a.-d.a.-í","repair","r√©paration"
"l.a.-d.a.-í","company | business","compagnie | entreprise"
"s.a.-f.a.-í","psychotherapy","psychoth√©rapie"
"b.a.-f.a.-í","care","soin"
"t.a.-f.a.-í","pharmacy","pharmacie"
"k.a.-f.a.-í","meal","repas"
"m.a.-f.a.-í","help","aide"
"n.a.-f.a.-í","illness","maladie"
"d.a.-f.a.-í","lesson","le√ßon"
"f.a.-f.a.-í","growing | farming","culture | √©levage"
"l.a.-f.a.-í","natural environment","environnement naturel"
"s.a.-l.a.-í","innovation","innovation"
"b.a.-l.a.-í","transportation","transport"
"t.a.-l.a.-í","archive","archive"
"k.a.-l.a.-í","(trade) union","syndicat"
"m.a.-l.a.-í","manufacturing","fabrication"
"n.a.-l.a.-í","public order","ordre public"
"d.a.-l.a.-í","intelligence","renseignement"
"f.a.-l.a.-í","disaster","d√©sastre"
"l.a.-l.a.-í","war","guerre"
"s.a.-s.a.-f.o.-í","philosopher","philosophe"
"b.a.-s.a.-f.o.-í","reader","lecteur"
"t.a.-s.a.-f.o.-í","translator","traducteur"
"k.a.-s.a.-f.o.-í","diplomat","diplomate"
"m.a.-s.a.-f.o.-í","mediator","m√©diateur"
"n.a.-s.a.-f.o.-í","adult","adulte"
"d.a.-s.a.-f.o.-í","student","√©tudiant"
"f.a.-s.a.-f.o.-í","consultant","consultant"
"l.a.-s.a.-f.o.-í","manager","manager"
"s.a.-b.a.-f.o.-í","actor","acteur"
"b.a.-b.a.-f.o.-í","author","auteur"
"t.a.-b.a.-f.o.-í","editor | publisher","√©diteur"
"k.a.-b.a.-f.o.-í","spectator","spectateur"
"m.a.-b.a.-f.o.-í","player","joueur"
"n.a.-b.a.-f.o.-í","journalist","journaliste"
"d.a.-b.a.-f.o.-í","producer","producteur"
"f.a.-b.a.-f.o.-í","musician","musicien"
"l.a.-b.a.-f.o.-í","public relations specialist","sp√©cialiste des relations publiques"
"s.a.-t.a.-f.o.-í","computer scientist","informaticien"
"b.a.-t.a.-f.o.-í","accountant","comptable"
"t.a.-t.a.-f.o.-í","founder","fondateur"
"k.a.-t.a.-f.o.-í","secretary","secr√©taire"
"m.a.-t.a.-f.o.-í","notary","notaire"
"n.a.-t.a.-f.o.-í","lawyer","avocat"
"d.a.-t.a.-f.o.-í","banker","banquier"
"f.a.-t.a.-f.o.-í","insurance broker","assureur"
"l.a.-t.a.-f.o.-í","cartographer","cartographe"
"s.a.-k.a.-f.o.-í","politician","politicien"
"b.a.-k.a.-f.o.-í","activist","activiste"
"t.a.-k.a.-f.o.-í","public servant","fonctionnaire"
"k.a.-k.a.-f.o.-í","citizen","citoyen"
"m.a.-k.a.-f.o.-í","neighbor","voisin"
"n.a.-k.a.-f.o.-í","reformer","r√©formateur"
"d.a.-k.a.-f.o.-í","inspector","inspecteur"
"f.a.-k.a.-f.o.-í","host","h√¥te"
"l.a.-k.a.-f.o.-í","officer","officier"
"s.a.-m.a.-f.o.-í","spouse","√©poux"
"b.a.-m.a.-f.o.-í","lover","amant"
"t.a.-m.a.-f.o.-í","ancestor","anc√™tre"
"k.a.-m.a.-f.o.-í","brother | sister","fr√®re | soeur"
"n.a.-m.a.-f.o.-í","father","p√®re"
"d.a.-m.a.-f.o.-í","child","enfant"
"f.a.-m.a.-f.o.-í","mother","m√®re"
"l.a.-m.a.-f.o.-í","ally","alli√©"
"s.a.-n.a.-f.o.-í","precursor","pr√©curseur"
"b.a.-n.a.-f.o.-í","prosecutor","procureur"
"t.a.-n.a.-f.o.-í","legislator","l√©gislateur"
"k.a.-n.a.-f.o.-í","jury","jur√©"
"m.a.-n.a.-f.o.-í","volunteer","b√©n√©vole"
"n.a.-n.a.-f.o.-í","spiritual guide","guide spirituel"
"d.a.-n.a.-f.o.-í","witness","t√©moin"
"f.a.-n.a.-f.o.-í","social worker","travailleur social"
"l.a.-n.a.-f.o.-í","defender","d√©fenseur"
"s.a.-d.a.-f.o.-í","mentor","mentor"
"b.a.-d.a.-f.o.-í","advertiser","publicitaire"
"t.a.-d.a.-f.o.-í","investor","investisseur"
"k.a.-d.a.-f.o.-í","vendor","vendeur"
"m.a.-d.a.-f.o.-í","partner","partenaire"
"n.a.-d.a.-f.o.-í","customer","client"
"d.a.-d.a.-f.o.-í","inventor","inventeur"
"f.a.-d.a.-f.o.-í","technician","technicien"
"l.a.-d.a.-f.o.-í","entrepreneur","entrepreneur"
"s.a.-f.a.-f.o.-í","psychologist","psychologue"
"b.a.-f.a.-f.o.-í","nurse | caregiver","infirmier | soignant"
"t.a.-f.a.-f.o.-í","pharmacist","pharmacien"
"k.a.-f.a.-f.o.-í","provider","pourvoyeur"
"m.a.-f.a.-f.o.-í","helper","aidant"
"n.a.-f.a.-f.o.-í","physician","m√©decin"
"d.a.-f.a.-f.o.-í","teacher","enseignant"
"f.a.-f.a.-f.o.-í","farmer","cultivateur | √©leveur"
"l.a.-f.a.-f.o.-í","ecologist | environmentalist","√©cologiste | environnementaliste"
"s.a.-l.a.-f.o.-í","innovator","innovateur"
"b.a.-l.a.-f.o.-í","carrier","transporteur"
"t.a.-l.a.-f.o.-í","archivist","archiviste"
"k.a.-l.a.-f.o.-í","unionized","syndiqu√©"
"m.a.-l.a.-f.o.-í","blue-collar worker","ouvrier"
"n.a.-l.a.-f.o.-í","police officer","policier"
"d.a.-l.a.-f.o.-í","intelligence agent","agent de renseignements"
"f.a.-l.a.-f.o.-í","rescuer","secouriste"
"l.a.-l.a.-f.o.-í","warrior","guerrier"
"M:M:.u.-M:M:.u.-í","semiotic functions","fonctions s√©miotiques"
"s.u.-s.u.-í","idea","id√©e"
"b.u.-s.u.-í","metaphor | similarity","m√©taphore | ressemblance"
"t.u.-s.u.-í","character | typography","caract√®re | typographie"
"k.u.-s.u.-í","mandala","mandala"
"m.u.-s.u.-í","fantasy","fantasme"
"n.u.-s.u.-í","overall form | overall structure","forme díensemble | structure díensemble"
"d.u.-s.u.-í","map","carte"
"f.u.-s.u.-í","mental image","image mentale"
"l.u.-s.u.-í","mold","moule"
"s.u.-b.u.-í","phrase","phrase"
"b.u.-b.u.-í","hypertext","hypertexte"
"t.u.-b.u.-í","text","texte"
"k.u.-b.u.-í","revelation","r√©v√©lation"
"m.u.-b.u.-í","spell","sortil√®ge"
"n.u.-b.u.-í","proposition | assertion","proposition | affirmation"
"d.u.-b.u.-í","warning","avertissement"
"f.u.-b.u.-í","accent","accent"
"l.u.-b.u.-í","transcription","transcription"
"s.u.-t.u.-í","ideogram","id√©ogramme"
"b.u.-t.u.-í","instruction","instruction"
"t.u.-t.u.-í","number","nombre"
"k.u.-t.u.-í","omen | divinatory sign","pr√©sage | signe divinatoire"
"m.u.-t.u.-í","mask","masque"
"n.u.-t.u.-í","logo","logo"
"d.u.-t.u.-í","hyperlink","hyperlien"
"f.u.-t.u.-í","musical note","note de musique"
"l.u.-t.u.-í","quality","qualit√©"
"s.u.-k.u.-í","icon","ic√¥ne"
"b.u.-k.u.-í","prayer","pri√®re"
"t.u.-k.u.-í","scriptures","√©critures"
"k.u.-k.u.-í","divine","divin"
"m.u.-k.u.-í","sacrifice","sacrifice"
"n.u.-k.u.-í","virtue","vertu"
"d.u.-k.u.-í","temple","temple"
"f.u.-k.u.-í","vision","vision"
"l.u.-k.u.-í","miracle","miracle"
"s.u.-m.u.-í","dream","r√™ve"
"b.u.-m.u.-í","voice","voix"
"t.u.-m.u.-í","sound","son"
"k.u.-m.u.-í","stigmata","stigmate"
"m.u.-m.u.-í","face","visage"
"n.u.-m.u.-í","imitation","imitation"
"d.u.-m.u.-í","physical reaction","r√©action physique"
"f.u.-m.u.-í","tear","larme"
"l.u.-m.u.-í","habit","habitude"
"s.u.-n.u.-í","common name","nom commun"
"b.u.-n.u.-í","verb","verbe"
"t.u.-n.u.-í","proper name","nom propre"
"k.u.-n.u.-í","totem","totem"
"m.u.-n.u.-í","subject","sujet"
"n.u.-n.u.-í","question","question"
"d.u.-n.u.-í","deictic","d√©ictique"
"f.u.-n.u.-í","attribute","attribut"
"l.u.-n.u.-í","occurrence | event","ocurrence | √©v√©nement"
"s.u.-d.u.-í","legend","l√©gende"
"b.u.-d.u.-í","metonymy | part","m√©tonymie | partie"
"t.u.-d.u.-í","index","index"
"k.u.-d.u.-í","aura","aura"
"m.u.-d.u.-í","make-up","maquillage"
"n.u.-d.u.-í","tag","√©tiquette"
"d.u.-d.u.-í","signal","signal"
"f.u.-d.u.-í","exclamation","exclamation"
"l.u.-d.u.-í","sample","√©chantillon"
"s.u.-f.u.-í","perception","perception"
"b.u.-f.u.-í","literary form | literary genre","forme litt√©raire | genre litt√©raire"
"t.u.-f.u.-í","melody","m√©lodie"
"k.u.-f.u.-í","sanctity | holiness","saintet√©"
"m.u.-f.u.-í","smile","sourire"
"n.u.-f.u.-í","color","couleur"
"d.u.-f.u.-í","presence","pr√©sence"
"f.u.-f.u.-í","illusion","illusion"
"l.u.-f.u.-í","grain | texture","grain | texture"
"s.u.-l.u.-í","shadow","ombre"
"b.u.-l.u.-í","quotation","citation"
"t.u.-l.u.-í","photograph","photo"
"k.u.-l.u.-í","relic | mortal remains","relique | d√©pouille"
"m.u.-l.u.-í","memory | recollection","souvenir"
"n.u.-l.u.-í","trail","piste"
"d.u.-l.u.-í","clue","indice"
"f.u.-l.u.-í","age","√¢ge"
"l.u.-l.u.-í","matter","mati√®re"
"M:M:.u.-M:M:.u.-d.u.-í","semiotic qualities","qualit√©s s√©miotiques"
"s.u.-s.u.-d.u.-í","ideal","id√©al"
"b.u.-s.u.-d.u.-í","similar","semblable"
"t.u.-s.u.-d.u.-í","printed | engraved","imprim√© | grav√©"
"k.u.-s.u.-d.u.-í","symmetrical","sym√©trique"
"m.u.-s.u.-d.u.-í","fantasized","fantasm√©"
"n.u.-s.u.-d.u.-í","total | integral","total | int√©gral"
"d.u.-s.u.-d.u.-í","mapped","cartographi√©"
"f.u.-s.u.-d.u.-í","imagined","imagin√©"
"l.u.-s.u.-d.u.-í","casted","moul√©"
"s.u.-b.u.-d.u.-í","enunciated","√©nonc√©"
"b.u.-b.u.-d.u.-í","significant","signifiant"
"t.u.-b.u.-d.u.-í","written","√©crit"
"k.u.-b.u.-d.u.-í","revealed","r√©v√©l√©"
"m.u.-b.u.-d.u.-í","bewitched","ensorcel√©"
"n.u.-b.u.-d.u.-í","proposed","propos√©"
"d.u.-b.u.-d.u.-í","advised","conseill√©"
"f.u.-b.u.-d.u.-í","accentuated","accentu√©"
"l.u.-b.u.-d.u.-í","transcribed","transcrit"
"s.u.-t.u.-d.u.-í","schematised","sch√©matis√©"
"b.u.-t.u.-d.u.-í","programmed","programm√©"
"t.u.-t.u.-d.u.-í","quantity","quantit√©"
"k.u.-t.u.-d.u.-í","premonitory","pr√©monitoire"
"m.u.-t.u.-d.u.-í","masked | concealed","masqu√© | dissimul√©"
"n.u.-t.u.-d.u.-í","emblematic","embl√©matique"
"d.u.-t.u.-d.u.-í","anchor","ancre"
"f.u.-t.u.-d.u.-í","musical score","partition"
"l.u.-t.u.-d.u.-í","qualitative","qualitatif"
"s.u.-k.u.-d.u.-í","visualized","visualis√©"
"b.u.-k.u.-d.u.-í","asked for","demand√©"
"t.u.-k.u.-d.u.-í","scriptural","scriptural"
"k.u.-k.u.-d.u.-í","sacred","sacr√©"
"m.u.-k.u.-d.u.-í","sacrificed","sacrifi√©"
"n.u.-k.u.-d.u.-í","excellent","excellent"
"d.u.-k.u.-d.u.-í","erect","dress√©"
"f.u.-k.u.-d.u.-í","glimpsed","aper√ßu"
"l.u.-k.u.-d.u.-í","miraculous","miraculeux"
"s.u.-m.u.-d.u.-í","dream-like","onirique"
"b.u.-m.u.-d.u.-í","song","chant"
"t.u.-m.u.-d.u.-í","auditive","auditif"
"k.u.-m.u.-d.u.-í","stigmatized","stigmatis√©"
"m.u.-m.u.-d.u.-í","other","autre"
"n.u.-m.u.-d.u.-í","imitated","imit√©"
"d.u.-m.u.-d.u.-í","reflex","r√©flexe"
"f.u.-m.u.-d.u.-í","sentimental","sentimental"
"l.u.-m.u.-d.u.-í","usual","habituel"
"s.u.-n.u.-d.u.-í","conceptual","conceptuel"
"b.u.-n.u.-d.u.-í","acting","agissant"
"t.u.-n.u.-d.u.-í","unique","unique"
"k.u.-n.u.-d.u.-í","tribal","tribal"
"m.u.-n.u.-d.u.-í","subjective","subjectif"
"n.u.-n.u.-d.u.-í","unknown","inconnu"
"d.u.-n.u.-d.u.-í","contexual","contextuel"
"f.u.-n.u.-d.u.-í","attributed","attribu√©"
"l.u.-n.u.-d.u.-í","happening | occuring","ayant lieu | survenant"
"s.u.-d.u.-d.u.-í","located","rep√©r√©"
"b.u.-d.u.-d.u.-í","partial | incomplete","partiel | incomplet"
"t.u.-d.u.-d.u.-í","indexed","index√©"
"k.u.-d.u.-d.u.-í","illuminated","illumin√©"
"m.u.-d.u.-d.u.-í","made-up","maquill√©"
"n.u.-d.u.-d.u.-í","tagged","√©tiquet√©"
"d.u.-d.u.-d.u.-í","salient","saillant"
"f.u.-d.u.-d.u.-í","remarkable","remarquable"
"l.u.-d.u.-d.u.-í","sampled","√©chantillonn√©"
"s.u.-f.u.-d.u.-í","perceived","per√ßu"
"b.u.-f.u.-d.u.-í","belonging to a literary genre","appartenance √† un genre litt√©raire"
"t.u.-f.u.-d.u.-í","sequential","s√©quentiel"
"k.u.-f.u.-d.u.-í","holy","saint"
"m.u.-f.u.-d.u.-í","pleasant","agr√©able"
"n.u.-f.u.-d.u.-í","visual","visuel"
"d.u.-f.u.-d.u.-í","present","pr√©sent"
"f.u.-f.u.-d.u.-í","illusory","illusoire"
"l.u.-f.u.-d.u.-í","tactile | kinesthetic","tactile | kinesth√©sique"
"s.u.-l.u.-d.u.-í","obscure","obscur"
"b.u.-l.u.-d.u.-í","cited","cit√©"
"t.u.-l.u.-d.u.-í","photographed","photographi√©"
"k.u.-l.u.-d.u.-í","tomb | mausoleum","tombeau | mausol√©e"
"m.u.-l.u.-d.u.-í","remembered","rappel√© √† la m√©moire"
"n.u.-l.u.-d.u.-í","retraced","retrac√©"
"d.u.-l.u.-d.u.-í","suspected","soup√ßonn√©"
"f.u.-l.u.-d.u.-í","aged","√¢g√©"
"l.u.-l.u.-d.u.-í","material","mat√©riel"
"s.i.-s.i.-í","switch","commutateur"
"b.i.-s.i.-í","atmosphere","atmosph√®re"
"t.i.-s.i.-í","vehicle","v√©hicule"
"k.i.-s.i.-í","recycling","recyclage"
"m.i.-s.i.-í","lure","app√¢t"
"n.i.-s.i.-í","engine","moteur"
"d.i.-s.i.-í","integrated circuit","circuit int√©gr√©"
"f.i.-s.i.-í","prosthesis","proth√®se"
"l.i.-s.i.-í","opening | door | window","ouverture | porte | fen√™tre"
"s.i.-b.i.-í","multimedia studio","studio multim√©dia"
"b.i.-b.i.-í","cyberspace","cyberespace"
"t.i.-b.i.-í","document","document"
"k.i.-b.i.-í","operating system","syst√®me díexploitation"
"m.i.-b.i.-í","perfume","parfum"
"n.i.-b.i.-í","lighting","√©clairage"
"d.i.-b.i.-í","computer","ordinateur"
"f.i.-b.i.-í","drug | medecine","drogue | m√©dicament"
"l.i.-b.i.-í","simulation","simulation"
"s.i.-t.i.-í","filter","filtre"
"b.i.-t.i.-í","media library","m√©diath√®que"
"t.i.-t.i.-í","recording device","dispositif díenregistrement"
"k.i.-t.i.-í","store | storage","magasin | entrep√¥t"
"m.i.-t.i.-í","security device","dispositif de s√©curit√©"
"n.i.-t.i.-í","fuel","carburant"
"d.i.-t.i.-í","meter | gauge","compteur | jauge"
"f.i.-t.i.-í","fat","graisse"
"l.i.-t.i.-í","closure | bag","fermeture | sac"
"s.i.-k.i.-í","fertilizer","engrais"
"b.i.-k.i.-í","public place","place publique"
"t.i.-k.i.-í","capital","capital"
"k.i.-k.i.-í","economic good","bien √©conomique"
"m.i.-k.i.-í","piece of a game","pi√®ce díun jeu"
"n.i.-k.i.-í","merchandise","marchandise"
"d.i.-k.i.-í","money","monnaie"
"f.i.-k.i.-í","food | drink","nourriture | boisson"
"l.i.-k.i.-í","terrain | field","terrain | champ"
"s.i.-m.i.-í","robot | mechanism","robot | m√©canisme"
"b.i.-m.i.-í","jewel","bijou"
"t.i.-m.i.-í","treasure","tr√©sor"
"k.i.-m.i.-í","playing ground","terrain de jeu"
"m.i.-m.i.-í","fetish","f√©tiche"
"n.i.-m.i.-í","paid work","travail r√©mun√©r√©"
"d.i.-m.i.-í","award | medal","prix | m√©daille"
"f.i.-m.i.-í","sexuality","sexe"
"l.i.-m.i.-í","furniture","meuble"
"s.i.-n.i.-í","cooling device","dispositif de r√©frig√©ration"
"b.i.-n.i.-í","musical instrument","instrument de musique"
"t.i.-n.i.-í","heating device","dispositif de chauffage"
"k.i.-n.i.-í","workshop","atelier"
"m.i.-n.i.-í","cleaning device","instrument de nettoyage"
"n.i.-n.i.-í","energy","√©nergie"
"d.i.-n.i.-í","steering device","instrument de pilotage"
"f.i.-n.i.-í","weapon","arme"
"l.i.-n.i.-í","cutting tool | piercing tool","outil coupant | outil per√ßant"
"s.i.-d.i.-í","transmitter","√©metteur"
"b.i.-d.i.-í","display device","dispositif díaffichage"
"t.i.-d.i.-í","clock","horloge"
"k.i.-d.i.-í","market","march√©"
"m.i.-d.i.-í","target","cible"
"n.i.-d.i.-í","wheel | lever","roue | levier"
"d.i.-d.i.-í","quantitative data","donn√©es quantitatives"
"f.i.-d.i.-í","detector | sensor","d√©tecteur | capteur"
"l.i.-d.i.-í","compass","boussole"
"s.i.-f.i.-í","nervous system | immune system","syst√®me nerveux | syst√®me immunitaire"
"b.i.-f.i.-í","circulatory system | repiratory system","syst√®me circulatoire | syst√®me respiratoire"
"t.i.-f.i.-í","genetic code | DNA","code g√©n√©tique | ADN"
"k.i.-f.i.-í","mouth | digestive system","bouche | syst√®me digestif"
"m.i.-f.i.-í","skin","peau"
"n.i.-f.i.-í","hand | foot","main | pied"
"d.i.-f.i.-í","sensory organ","organe sensoriel"
"f.i.-f.i.-í","organism","organisme"
"l.i.-f.i.-í","muscle | os","muscle | os"
"s.i.-l.i.-í","articulation | joint","articulation physique"
"b.i.-l.i.-í","channel | way","canal | voie"
"t.i.-l.i.-í","city","ville"
"k.i.-l.i.-í","house | building","maison | b√¢timent"
"m.i.-l.i.-í","textile | clothing","textile | v√™tement"
"n.i.-l.i.-í","glue | joint","colle | joint"
"d.i.-l.i.-í","place | site","lieu | site"
"f.i.-l.i.-í","frame | framework","cadre | charpente"
"l.i.-l.i.-í","network","r√©seau"
"M:M:.i.-M:M:.i.-t.u.-í","technical qualities","qualit√©s techniques"
"s.i.-s.i.-t.u.-í","switched on","allum√©"
"b.i.-s.i.-t.u.-í","atmospheric","atmosph√©rique"
"t.i.-s.i.-t.u.-í","in transit","en transit"
"k.i.-s.i.-t.u.-í","to be recycled","√† recycler"
"m.i.-s.i.-t.u.-í","trapped","pi√®g√©"
"n.i.-s.i.-t.u.-í","in motion","en mouvement"
"d.i.-s.i.-t.u.-í","electronics | photonics","√©lectronique | photonique"
"f.i.-s.i.-t.u.-í","assisted","assist√©"
"l.i.-s.i.-t.u.-í","open","ouvert"
"s.i.-b.i.-t.u.-í","multimedia","multim√©dia"
"b.i.-b.i.-t.u.-í","ubiquitous","ubiquitaire"
"t.i.-b.i.-t.u.-í","informative","informatif"
"k.i.-b.i.-t.u.-í","software","logiciel"
"m.i.-b.i.-t.u.-í","perfumed","parfum√©"
"n.i.-b.i.-t.u.-í","lighted","√©clair√©"
"d.i.-b.i.-t.u.-í","digital","num√©rique"
"f.i.-b.i.-t.u.-í","medicated","m√©dicament√©"
"l.i.-b.i.-t.u.-í","simulated","simul√©"
"s.i.-t.i.-t.u.-í","filtered","filtr√©"
"b.i.-k.i.-t.u.-í","monumental","monumental"
"t.i.-k.i.-t.u.-í","stocked","stock√©"
"k.i.-k.i.-t.u.-í","economic","√©conomique"
"m.i.-k.i.-t.u.-í","playful","ludique"
"n.i.-k.i.-t.u.-í","for sale","√† vendre"
"d.i.-k.i.-t.u.-í","monetary","mon√©taire"
"f.i.-k.i.-t.u.-í","edible | drinkable","comestible | potable"
"l.i.-k.i.-t.u.-í","real-estate | land","immobilier | foncier"
"s.i.-m.i.-t.u.-í","mechanical","m√©canique"
"b.i.-m.i.-t.u.-í","bright","brillant"
"t.i.-m.i.-t.u.-í","precious","pr√©cieux"
"k.i.-m.i.-t.u.-í","play symbol","symbole de jeu"
"m.i.-m.i.-t.u.-í","fetishized","f√©tichis√©"
"n.i.-m.i.-t.u.-í","added value","valeur ajout√©e"
"d.i.-m.i.-t.u.-í","awarded | decorated","prim√© | d√©cor√©"
"f.i.-m.i.-t.u.-í","sexual","sexuel"
"l.i.-m.i.-t.u.-í","furnished","meubl√©"
"s.i.-n.i.-t.u.-í","refrigerated","r√©frig√©r√©"
"b.i.-n.i.-t.u.-í","virtuoso","virtuose"
"t.i.-n.i.-t.u.-í","heated","chauff√©"
"k.i.-n.i.-t.u.-í","assembled | manufactured","assembl√© | manufactur√©"
"m.i.-n.i.-t.u.-í","cleaned","nettoy√©"
"n.i.-n.i.-t.u.-í","energy source","source dí√©nergie"
"d.i.-n.i.-t.u.-í","steered","pilot√©"
"f.i.-n.i.-t.u.-í","armed","arm√©"
"l.i.-n.i.-t.u.-í","cut | pierced","d√©coup√© | per√ß√©"
"s.i.-d.i.-t.u.-í","emitted | broadcasted","√©mis | diffus√©"
"b.i.-d.i.-t.u.-í","displayed","affich√©"
"t.i.-d.i.-t.u.-í","measured time","chronom√©tr√©"
"k.i.-d.i.-t.u.-í","price","prix"
"m.i.-d.i.-t.u.-í","targeted","cibl√©"
"n.i.-d.i.-t.u.-í","quick","rapide"
"d.i.-d.i.-t.u.-í","quantified","quantifi√©"
"f.i.-d.i.-t.u.-í","detected | sensed","d√©tect√© | capt√©"
"l.i.-d.i.-t.u.-í","oriented","orient√©"
"s.i.-f.i.-t.u.-í","recognized","reconnu"
"b.i.-f.i.-t.u.-í","distributed","distribu√©"
"t.i.-f.i.-t.u.-í","genetic","g√©n√©tique"
"k.i.-f.i.-t.u.-í","digested","dig√©r√©"
"m.i.-f.i.-t.u.-í","caressed","caress√©"
"n.i.-f.i.-t.u.-í","taken | possesed","pris | poss√©d√©"
"d.i.-f.i.-t.u.-í","perceived","per√ßu"
"f.i.-f.i.-t.u.-í","organic","organique"
"l.i.-f.i.-t.u.-í","powerful | agile","puissant | agile"
"s.i.-l.i.-t.u.-í","articulated","articul√©"
"b.i.-l.i.-t.u.-í","linked","reli√©"
"t.i.-l.i.-t.u.-í","urban","urbain"
"k.i.-l.i.-t.u.-í","built","b√¢ti"
"m.i.-l.i.-t.u.-í","clothed | covered","v√™tu | recouvert"
"n.i.-l.i.-t.u.-í","glued | joint","coll√© | joint"
"d.i.-l.i.-t.u.-í","address | indicator","adresse | indicateur"
"f.i.-l.i.-t.u.-í","supported","soutenu"
"l.i.-l.i.-t.u.-í","networked","en r√©seau"
"M:M:.-S:.A:.-í","abstract south","sud abstrait"
"M:M:.-B:.U:.-í","abstract east","est abstrait"
"M:M:.-B:.A:.-í","abstract west","ouest abstrait"
"M:M:.-T:.U:.-í","abstract zenith","z√©nith abstrait"
"M:M:.-T:.A:.-í","abstract nadir","nadir abstrait"
"s.-M:.O:.-í","natural polarity","polarit√© naturelle"
"s.-S:.U:.-í","cold","froid"
"s.-S:.A:.-í","hot","chaud"
"s.-B:.U:.-í","growing | increasing | waxing","croissant | augmentant"
"s.-B:.A:.-í","decreasing | diminishing | waning","d√©croissant | diminuant"
"s.-T:.U:.-í","dry","sec"
"s.-T:.A:.-í","wet","humide"
"b.-M:.O:.-í","color","couleur"
"b.-S:.U:.-í","blue","bleu"
"b.-S:.A:.-í","yellow","jaune"
"b.-B:.U:.-í","green","vert"
"b.-B:.A:.-í","red","rouge"
"b.-T:.U:.-í","white","blanc"
"b.-T:.A:.-í","black","noir"
"t.-M:.O:.-í","season","saison"
"t.-S:.U:.-í","winter","hiver"
"t.-S:.A:.-í","summer","√©t√©"
"t.-B:.U:.-í","spring (season)","printemps"
"t.-B:.A:.-í","autumn | fall (season)","automne"
"t.-T:.U:.-í","dry season","saison s√®che"
"t.-T:.A:.-í","rainy season","saison pluvieuse"
"k.-M:.O:.-í","sensible polarity","polarit√© sensible"
"k.-S:.U:.-í","dark","obscur"
