t.e.-m.u.-' , représentation dramatique , dramatic representation
l.a.-b.a.-f.o.-' , spécialiste des relations publiques , public relations specialist
E:S:.l.- , point d'arrivée , point of arrival
b.a.-n.a.-' , accusation , accusation
we. , reconstituer , to reconstitute
E:U:.d.- , en dessous | vers le bas , down | downwards
n.o.-c.c.-s.y.-' , études ethniques , ethnic studies
E:A:.j.- , par analogie dune manière semblable , by analogy in a similar manner
f.i.-t.i.-' , graisse , fat
n.i.-d.i.-' , roue | levier , wheel | lever
E:O:.f.- , bas en relation à  une partie | derrière en relation à  une partie , low relative to a part | behind relative to a part
E:A:.wa.- , nos | vos | leur , our | your | their
u.a.-we.h.-' , cultiver la mémoire collective , to cultivate collective memory
d.u.-n.u.-' , déictique , deictic
E:T:T:. , partout , everywhere
O:O:.f.- , fournir des ressources à  l'action par le rapport au corps , to provide resources for action through the relation to the body
s.i.-k.i.-' , engrais , fertilizer
b.o.-x.x.-' , technique de communication , communication technique
p.y.- , contemplation de l'objet de connaissance , contemplation of the knowledge object
wa.g.- , perfectionner le système de communication , to improve the communication system
b.o.-f.o.-' , courage , courage
E:B:.wa.- , vous , you plural
wu.wu.- , être mûr , to be mature
m.o.-p.p.-' , image de marque , brand
s.wu.- , analyse des perceptions , analysis of perceptions
wu.a.- , discerner les caractères , to discern characters
j.p.- , nouvelle analyse , new analysis
n.e.-d.a.-' , information du public , informing the public
i.M:M:.- , fragiliser la fonction technique , to undermine the technical function
E:T:.i.- , a dû faire | devrait faire , should
l.-T:.U:.-' , zénith spatial , spatial zenith
d.u.-b.u.-d.u.-' , conseillé , advised
t.i.-k.i.-t.u.-' , stocké , stocked
s.o.-k.o.-s.u.-' , conscient , conscious
f.o.-g.g.-s.y.-' , écologie | agronomie , ecology | agronomy
c.m.- , harcèlement | persécution , harassment | persecution
t.o.-g.g.-s.y.-' , épigraphie | études des langues anciennes , epigraphy | study of ancient languages
k.i.-f.i.-t.u.-' , digéré , digested
k.wo.- , école de pensée , school of thought
wa.x.- , perfectionner le système technique , to improve the technical system
f.g.- , porte-parole fidèle | représentant fidèle , faithful spokesman | faithful representative
t.o.-s.o.-' , prévision , forecast
l.o.-c.c.-' , relation locale , local relation
t.o.-g.g.-' , inscription ancienne , ancient inscription
s.i.-m.i.-t.u.-' , mécanique , mechanical
O:M:.O:O:.- , gagner en puissance , to gain empowerment
E:M:U:. , peut inférentiel , inferential may
s.u.-d.u.-d.u.-' , repéré , located
e.i.- , donner , to give
b.o.-i.i.-s.y.-' , imagerie scientifique , scientific imaging
a.d.- , être superficiel , to be superficial
h.t.- , oubli , forgetfulness
b.i.-s.i.-' , atmosphère , atmosphere
t.e.-s.u.-wa.e.-' , compétence en création d'image | compétence en design graphique , competence in image creation | competence in graphic design
k.u.-s.u.-' , mandala , mandala
E:U:.wo.- , ce | ceci , this | this one
M:M:.p.- , cycle de création-innovation économique , economic creation-innovation cycle
E:B:.p.- , patient , patient
n.M:O:.- , transformation durable résultant d'un cycle de création-innovation , sustainable transformations resulting from a creation-innovation cycle
m.o.-c.c.-' , résolution de conflit , conflict resolution
s.i.-n.i.-t.u.-' , réfrigéré , refrigerated
s.-B:.A:.-' , décroissant | diminuant , decreasing | diminishing | waning
l.o.-k.o.-' , territoire , territory
wo.m.- , changer les réflexes émotionnels , to change emotional patterns
o.j.- , choisir un mode d'expression , to choose a mode of expression
l.o.-t.o.-s.u.-' , loin , far
b.o.- , goût du langage , taste for language
k.i.-d.i.-t.u.-' , prix , price
l.u.-s.u.-' , moule , mold
l.o.-p.p.-' , rapport de force , power struggle
b.i.-s.i.-t.u.-' , atmosphérique , atmospheric
k.-T:.U:.-' , léger , light weight
l.p.- , réseau de compétences , skills network
h.O:O:.- , changement de sens génératif , generative meaning change
i.e.-we.h.-' , investir dans les affaires , to invest in business
b.o.-m.o.-' , beauté , beauty
n.o.-c.c.-' , singularité culturelle , cultural singularity
x.M:O:.- , transformation sur base concrète , transformation on concrete basis
n.e.-d.a.-wa.e.-' , compétence en publication de la vérité , competence in releasing the truth
b.e.-b.u.-' , échange culturel , cultural exchange
t.-B:.A:.-' , automne , autumn | fall season
m.i.-b.i.-t.u.-' , parfumé , perfumed
we.p.- , unifier les objectifs , to unify objectives
f.i.-m.i.-t.u.-' , sexuel , sexual
m.u.-s.u.-' , fantasme , fantasy
n.i.-n.i.-' , énergie , energy
x.i.- , fabrication | exécution , manufacturing | execution
s.e.-n.u.-wa.e.-' , compétence en vocabulaire , competence in vocabulary
s.o.-b.o.-' , inspiration , inspiration
s.a.-l.a.-f.o.-' , innovateur , innovator
M:M:.i.-M:M:.i.-t.u.-' , qualités techniques , technical qualities
d.o.-x.x.-' , preuves | indices , pieces of evidence | clues
y.g.- , envisager les discours possibles , to consider possible discourses
y.T:.- , creuser | percer | sculpter , to dig | to pierce | to sculpt
f.i.-l.i.-t.u.-' , soutenu , supported
c.O:M:.- , processus personnel actualisant actuel , actualizing personal process actual
y.wo.- , assumer la responsabilité dune oeuvre , to assume a works responsibility
b.a.-k.a.-' , action politique , political action
b.o.-a.a.-s.y.-' , psychologie sociale , social psychology
O:M:.e.- , performer dans les capacités , to perform in abilities
d.o.-o.o.-s.y.-' , comptabilité , accounting
t.i.-m.i.-t.u.-' , précieux , precious
n.o.-i.i.-' , phénomène chimique , chemical phenomenon
k.a.-b.a.-' , spectacle , show
p.h.- , nouvelle conception | nouveau plan , new conception | new plan
E:F:.e.- , mode abilitatif , abilitative mood
a. , s'engager , to commit oneself
b.e.-s.u.-wa.e.-' , compétence en raffinement visuel , competence in visual refinement
k.o.-k.o.-' , paix , peace
u.o.- , adhérer à  des idées , to adhere to ideas
wo.A:.- , contrôler la force , to control force
b.u.-n.u.-' , verbe , verb
y.x.- , passer en revue les méthodes possibles , to review possible methods
O:M:.j.- , travailler le média , to work on the medium
k.o.-p.p.-s.y.-' , économie , economy
wu.f.- , s'immerger dans les sensations , to immerse oneself in sensations
j.s.- , lapsus | défaut d'articulation , slip of tongue | articulation deficiency
E:T:.d.- , vers , towards
n.-T:.A:.-' , eau , water
k.o.-n.o.-s.u.-' , juste , just
m.o.-b.o.-' , expression , expression
b.e.-k.u.-wa.e.-' , compétence en interprétation personnelle , competence in personal interpretation
E:M:.b.- , commencement dynamique , dynamic beginning
t.e.-b.u.-' , public conquis , won-over public
y.b.- , ne pas abstraire , to not abstract
O:M:.e.-we.h.-' , perfectionner l'intelligence collective en augmentant le pouvoir , to improve collective intelligence by augmenting power
c.we.- , événement familial , family event
f.u.-k.u.-' , vision , vision
k.i.-n.i.-t.u.-' , assemblé | manufacturé , assembled | manufactured
t.o.-f.o.-s.u.-' , périodique , periodical
x.d.- , défaut d'exécution , execution flaw
k.i.-k.i.-' , bien économique , economic good
b.e.- , capacité de raisonner dialectique , reasoning ability dialectic
t.u.-m.u.-d.u.-' , auditif , auditive
u.O:M:.-we.h.-' , perfectionner l'intelligence collective en utilisant la communication , to improve collective intelligence by using communication
k.e.-m.a.-' , autonomie affective , affective autonomy
n.i.-t.i.-t.u.-' , consommé , consumed
f.a.-l.a.-f.o.-' , secouriste , rescuer
c. , mutation personnelle , personal mutation
b.a.-m.a.-' , érotisme , erotism
E:O:.B:O:.- , mode d'orientation , manner of orientation
n.o.-o.o.-' , jurisprudence , case law
i.u.- , emprunter , to borrow
b.u.-d.u.-' , métonymie | partie , metonymy | part
g.y.- , recueil des données | catégorisation des données , gathering of data | categorization of data
a.g.- , s'engager dans son discours , to commit oneself to one's discourse
u.j.- , analyser son langage , to analyze one's language
d.wa.- , contrainte éthique , ethical constraint
E:T:.u.- , a exprimé , has expressed
E:U:.wa.- , ces | ceux-ci , these
s.i.-s.i.-t.u.-' , allumé , switched on
l.e.-b.i.-wa.e.-' , compétence en ingénierie informatique , competence in computer engineering
E:B:.c.- , variable , variable
wa.c.- , renouveler la communauté , to renew the community
s.o.-s.o.-s.u.-' , intelligent , intelligent
d.o.-t.o.-' , apprentissage , learning
a.x.- , s'impliquer dans son travail , to get involved in one's work
s.o.-y.y.-s.y.-' , sciences épistémologie , epistemology
t.u.-m.u.-' , son , sound
E:B:A:. , autorité , authority
b.i.-k.i.-t.u.-' , monumental , monumental
s.e.-k.u.-' , lecture | écriture , reading | writing
wo. , générer des possibilités , to generate possibilities
s.i.-d.i.-t.u.-' , émis | diffusé , emitted | broadcasted
E:F:.O:M:.- , conjugaison , conjugation
t.i.-f.i.-t.u.-' , génétique , genetic
n.a.-d.a.-' , achat , purchase
m.a.-f.a.-' , aide , help
wu.O:M:.- , exercer son jugement critique , to exert critical judgement
we.O:M:.- , renouveler son activité , to renew the activity
s.o.-l.o.-' , proportion , proportion
n.e.-n.a.-wa.e.-' , compétence en pose de valeurs , competence in forging values
f.a.-m.a.-' , femme , woman
l.u.-l.u.-d.u.-' , matériel , material
k.e.-n.a.-wa.e.-' , compétence en auto-évaluation , competence in self-evaluation
m.i.-n.i.-' , instrument de nettoyage , cleaning device
e. , pouvoir verbe , to be able
E:A:.e.- , capacitant | habilitant , abling | enabling
d.i.-k.i.-t.u.-' , monétaire , monetary
h.wo.- , conversion , conversion
we.y.- , reconstruire les savoirs , to rebuild knowledge
M:O:.k.- , obstacle dans le défaut de communauté , obstacle in community deficiency
wo.wa.- , célébrer , to celebrate
wa.t.- , prendre des risques , to take risks
l.u.-n.u.-' , occurrence | événement , occurrence | event
m.u.-l.u.-' , souvenir , memory | recollection
d.a.-b.a.-' , production de spectacle , show production
E:S:.wo.- , je | moi , I | me
l.M:O:.- , manifestation dans l'espace d'un cycle de création-innovation , manifestation in space of a creation-innovation cycle
wo.S:.- , contrôler l'image taille | forme | couleur , to control image size | color | shape
e.p.- , être au niveau approprié pour un sujet , to be at the proper level for a subject
O:M:.wa.- , gagner en puissance économique , to gain in economic power
wo.a.- , trouver sa juste place , to find one's rightful place
f.i.-m.i.-' , sexe , sexuality
o.M:O:.- , orienter sa production , to orient one's production
p.wo.- , transformation des intérêts | transformation de l'attention , transition of interests | transition of attention
E:F:.A:M:.- , mode performatif , performative mood
n.o.-g.g.-s.y.-' , études transculturelles , transcultural studies
E:B:.t.- , loin | là-bas , far | over there
n.i.-l.i.-' , colle | joint , glue | joint
E:S:.j.- , ensemble , set
n.x.- , transformation de l'univers pratique , transformation of the practical universe
a.O:O:.- , créer | initier , to create | to initiate
k.o.-m.o.-' , amitié , friendship
m.u.-d.u.-' , maquillage , make-up
m.e.-s.a.-wa.e.-' , compétence en compréhension d'autrui , competence in understanding others
b.u.-l.u.-' , citation , quotation
c.t.- , obsolescence , obsolescence
p.c.- , évolution de la demande , evolution of the demand
g. , mutation documentaire , document mutation
k.u.-f.u.-d.u.-' , saint , holy
s.o.-p.p.-' , mécanismes d'apprentissage , learning mechanisms
d.M:O:.- , vérité d'un cycle de création-innovation | exactitude & rigueur d'un cycle de création-innovation , truth of a creation-innovation cycle | exactness & rigor of a creation-innovation cycle
t.o.-k.o.-' , tradition , tradition
d.o.-l.o.-' , ordre , order
O:O:.d.- , fournir des ressources à  l'action par le souci de vérité , to provide resources for action through concern for truth
M:O:.O:O:.- , mutation générative , generative mutation
M:M:.wo.- , sources intellectuelles du sens , intellectual sources of meaning
a.i.-we.h.-' , organiser le travail , to organize the work
n.o.-j.j.-' , Univers , Universe
l.i.-l.i.-t.u.-' , en réseau , networked
we.l.- , augmenter sa capacité de travail , to increase one's working capacity
n.o.-y.y.-' , taxon scientifique , scientific taxon
m.a.-n.a.-' , cause , cause
d.a.- , chercheur , researcher
y.s.- , négliger la discipline intellectuelle , to neglect intellectual discipline
n.g.- , changement de comportement du public , change of public behavior
s.a.-b.a.-' , rôle , role
f.o.-x.x.-s.y.-' , biologie médicale , medical biology
b.o.-k.o.-s.u.-' , communiqué , communicated
h. , mutation de signifié , signified mutation
j.f.- , absence de sensibilité esthétique , lack of aesthetic sensibility
l.o.-j.j.-s.y.-' , sciences de la Terre , Earth sciences
x.u.- , publication | élocution , publication | delivery
n.O:O:.- , sources du sens dans le rapport au cosmos , sources of meaning in the relation to the cosmos
u.y.-we.h.-' , préciser l'information , to specify information
o.e.- , spécifier , to specify
E:+U: , fiction de virtualité , fiction of virtuality
c.c.- , mutation du lien social , social bond mutation
E:M:.s.- , commencement structurel , structural beginning
s.u.-k.u.-d.u.-' , visualisé , visualized
l.o.-l.o.-s.u.-' , complexe , complex
i. , faire , to do
g.l.- , fermeture intellectuelle | rigidité intellectuelle , intellectual closedness | intellectual rigidity
n.wu.- , imagination créatrice , creative imagination
m.-T:.U:.-' , joie , joy
y.F:.- , accomplir un acte topologique , to perform a topological act
E:A:T:. , beaucoup | très , a lot | very
E:F:.wa.- , nombre pluriel , plural number
f.o.-o.o.-' , collaborateur , collaborator
E:O:.m.- , milieu en relation à  une partie | centre en relation à  une partie , middle relative to a part | center relative to a part
b.o.-o.o.-s.y.-' , communication sociale , social/ organizational communication
m.i.- , jouet , toy
m.o.-g.g.-' , tendance de l'opinion , trend of opinion
d.o.-a.a.-s.y.-' , statistiques , statistics
h.j.- , nouveau choix , new choice
p.t.- , gaspillage | perte de capital | érosion du capital , waste | loss of capital | erosion of capital
k.a.-k.a.-' , cité | unité politique , city | political unit
E:U:.m.- , au même niveau que , at same level as
l.a.-t.a.-f.o.-' , cartographe , cartographer
s.e.-l.u.-' , nature , nature
E:+T: , chose fictive , fictitious thing
i.h.- , élaborer une interprétation , to elaborate an interpretation
s.u.-s.u.-d.u.-' , idéal , ideal
E:U:.we.- , cette , this feminine
m.u.-f.u.-d.u.-' , agréable , pleasant
f.e.-s.i.-' , synchronie corps-esprit , body-mind synchrony
j. , mutation de signifiant , signifier mutation
O:M:.n.- , rétrécir le monde , to shrink the world
M:M:.-S:.U:.-' , nord abstrait , abstract north
i.a.-we.h.-' , entretenir l'infrastructure , look after the infrastructure
t.y.- , gestion de la mémoire , memory management
d.o.-f.o.-' , expérience , experience
b.i.-m.i.-' , bijou , jewel
k.u.- , symbole , symbol
wu.j.- , évaluer le système symbolique en usage , to assess the symbolic system in use
wu. , percevoir , to perceive
n.i.-f.i.-' , main | pied , hand | foot
we.B:.- , isoler thermiquement | isoler chimiquement , to thermally insulate | to chemically insulate
M:M:.o.-i.i.-s.y.-' , sciences de la nature , sciences of nature
E:+S: , signe fictif , fictitious sign
t.o.-m.o.-s.u.-' , espéré , hoped for
f.a.-s.a.-' , consultation , consultation
n.e.-f.a.-' , guérison , recovery
l.u.-s.u.-d.u.-' , moulé , casted
m.a.-d.a.-f.o.-' , partenaire , partner
t.e.-n.u.-wa.e.-' , compétence en écriture littéraire , competence in literary writing
s.a.-d.a.-f.o.-' , mentor , mentor
d.o.-d.o.-' , investigation , investigation
b.i.- , medium , medium
f.o.-l.o.-s.u.-' , organisé , organised
u.f.- , fuir ses sensations , to shun one's sensations
i.y.- , computer , to compute
a.k.- , attiser le conflit , to stir up conflict
g.M:M:.- , obstacle communicationnel , obstacle related to communication
d.we.- , contrainte technique , technical constraint
m.a.-t.a.-' , contrat , contract
f.u.-d.u.-d.u.-' , remarquable , remarkable
M:M:.o.-O:M:.O:M:.-s.y.-' , connaissances organisées A , organized knowledge A
l.e.-l.i.-wa.e.-' , compétence en architecture , competence in architecture
g.wo.- , initiation | nouveau nom , initiation | new name
E:M:M:. , distribution , distribution
l.wa.- , liberté de circulation , freedom of movement
k.o.-h.h.-' , congrégation | organisation des fidèles , congregation | organization of the faithful
A:+B: , réseaux personnels , personal networks
l.e.-s.i.-wa.e.-' , compétence en interconnection de systèmes , competence in interconnecting systems
E:B:.g.- , séléction , selection
t.u.-s.u.-' , caractère | typographie , character | typography
l.u.-t.u.-' , qualité , quality
wo.we.- , déplorer la perte , to mourn
E:M:.T:O:.- , cause existentielle | rôle existentiel , existential cause | existential role
t.o.-u.u.-' , système de communication , communication system
k.o.-f.o.-s.u.-' , collaboratif , collaborative
l.e.-m.i.-' , univers poétique , poetic world
t.u.-n.u.-' , nom propre , proper name
b.wo.- , échange intellectuel , intellectual exchange
k.O:O:.- , sources du sens dans la communauté , sources of meaning in community
n.o.-b.o.-s.u.-' , stylé , stylish
we.u.- , mettre à  jour sa documentation , to update one's documentation
m.o.-e.e.-' , vocation , vocation
E:+O: , processus fictif , fictitious process
b.o.-e.e.-' , développement professionnel , professional development
O:O:.m.- , fournir des ressources à  l'action par la fluidité émotionnelle , to provide resources for action through emotional fluidity
O:M:.O:.- , bouger en relation à  un centre , to move in relation to center
M:O:.g.- , transformation dans l'expression , transformation in expression
f.wu.- , éclat des perceptions , brilliance of perceptions
E:A:.a.- , engageant , committing
y.B:.- , nouer | attacher , to tie | to attach
f.a.-d.a.-' , réparation , repair
M:M:.u.- , fonction sémiotique , semiotic function
wa.p.- , atteindre les objectifs , to meet the objectives
s.a.-s.a.-f.o.-' , philosophe , philosopher
f.e.-d.i.-' , geste précis , precise gesture
b.u.-n.u.-d.u.-' , agissant , acting
t.a.-f.a.-f.o.-' , pharmacien , pharmacist
l.u.-f.u.-' , grain | texture , grain | texture
l.i.-t.i.-t.u.-' , fermé | emballé , closed | packed
M:M:.h.- , cycle de création-innovation culturel , cultural creation-innovation cycle
l.a.-f.a.-f.o.-' , écologiste | environnementaliste , ecologist | environmentalist
d.o.-p.p.-' , opacité , opacity
t.o.-x.x.-' , patrimoine collectif , collective heritage
m.i.-m.i.-' , fétiche , fetish
wo.e.- , identifier les compétences , to identify competences
e.t.- , offenser , to offend
p.O:M:.- , processus référentiel actualisant virtuel , actualizing referential process virtual
E:B:.M:M:.- , orientation subjective , subjective orientation
f.e.-b.i.-' , grâce , grace
E:B:.x.- , agent , agent
E:S:.f.- , puits , well
k.-B:.U:.-' , aigu , high-pitched
f.o.-a.a.-s.y.-' , démographie , demographics
s.i.-b.i.-' , studio multimédia , multimedia studio
M:O:.x.- , transformation dans le concret , transformation in concrete things
o. , vouloir , to want
d.-S:.A:.-' , mou | souple , soft | supple
E:+M: , représentation fictive , fictitious representation
c.x.- , changement de propriétaire , change of owner
m.o.-n.o.-s.u.-' , sage , wise
E:S:A:. , condition , condition
n.u.-d.u.-d.u.-' , étiqueté , tagged
we.h.- , unifier le sens de l'activité , to unify the meaning of the activity
f.i.-l.i.-' , cadre | charpente , frame | framework
O:M:.we.- , gagner en puissance familiale , to gain in family empowerment
m.o.-p.p.-s.y.-' , études de la publicité , advertisement studies
n.a.-b.a.-f.o.-' , journaliste , journalist
n.a.-l.a.-' , ordre public , public order
l.x.- , déménagement | aménagement d'espaces , moving | spatial arrangement
p. , mutation de référent , referent mutation
n.i.-t.i.-' , carburant , fuel
n.o.-l.o.-s.u.-' , cosmique , cosmic
m.u.-m.u.-' , visage , face
d.o.-a.a.-' , données économiques | données sociales , economic data | social data
s.j.- , projet poétique | dimension poétique d'un projet de création-innovation , poetic project | poetic dimension of a creation-innovation project
O:M:.M:M:.- , fragiliser le développement humain , to undermine human development
t.a.-f.a.-' , pharmacie , pharmacy
y.o.- , établir des priorités , to establish priorities
n.c.- , évolution politique , political evolution
M:M:.u.-M:M:.u.-' , fonctions sémiotiques , semiotic functions
x.wo.- , hasard transformateur , transformative chance
s.o.-m.o.-' , humour , humor
j.j.- , mutation intellectuelle , intellectual mutation
t.o.-i.i.-' , relation cause-effet , cause-effect relation
b.a.-k.a.-f.o.-' , activiste , activist
f.o.-y.y.-' , règle de goût | art poétique , rule of taste | poetic art
d.e.- , savoir-faire technique grammaire , technical know how grammar
wa.S:.- , afficher limage | diffuser limage , to display image | to broadcast image
b.-B:.A:.-' , rouge , red
c.g.- , renouvellement de la confiance , confidence renewal
o.a.- , mener | diriger , to lead
t.h.- , héritage spirituel , spiritual heritage
t.o.-p.p.-s.y.-' , histoire des relations internationales , history of international relations
d.o.-x.x.-s.y.-' , sciences médico-légales , forensic science
E:T:.we.- , elle | elles , her | she | them feminine
s.o.-d.o.-s.u.-' , humble , humble
k.h.- , communauté d'esprit re-créée , re-created community of spirit
s.i.-s.i.-' , commutateur , switch
e.U:.- , tirer , to pull
n.o.-n.o.-' , être humain , human being
n.-B:.A:.-' , métal , metal
f.O:M:.- , vie actualisée , weaken the body
wa.wa.- , s'activer , to strive
l.o.-l.o.-' , complexité , complexity
n.e.-t.a.-' , civilisation , civilization
g.p.- , nouvelle délibération , new deliberation
f.a.- , guérisseur , healer
t.i.-n.i.-' , dispositif de chauffage , heating device
l.g.- , graphe de diffusion du message , message diffusion graph
a.O:M:.-we.h.-' , perfectionner l'intelligence collective en utilisant le lien social , to improve collective intelligence by using the social bond
b.u.-t.u.-' , instruction , instruction
f.u.-l.u.-' ,  âge , age
p.p.- , mutation des forces en jeu , mutation of forces in play
m.e.- , capacité de négocier dialectique , negotiation ability dialectic
t.o.-b.o.-s.u.-' , narré , narrated
h.n.- , opportunisme , opportunism
i.l.- , tomber dans un piège , to be caught in a trap
s.o.-i.i.-s.y.-' , théorie en sciences de la nature , scientific theory of nature
E:U:.i.- , doit être fait , be done
m.o.-a.a.-s.y.-' , psychologie , psychology
e.c.- , se préparer au changement , to prepare oneself for change
E:S:.M:O:.- , cause spécifiante , specifying cause
E:T:.l.- , dans | dedans , in | inside
x.l.- , expulsion d'un logement | destruction d'habitat , expulsion from housing | habitat destruction
E:F:.y.- , mode indicatif , indicative mood
n.a.-n.a.-f.o.-' , guide spirituel , spiritual guide
k.e.-k.a.-' , performance , performance
j.k.- , erreur de syntaxe | impropriété lexicale , syntactic mistake | lexical inappropriateness
m.a.-l.a.-f.o.-' , ouvrier , blue-collar worker
y.j.- , examiner les médias possibles , to examine possible media
t.u.-k.u.-' , écritures , scriptures
wu.S:.- , voir | reconnaître des formes visuelles , to see | to recognize visual forms
B:M:.O:M:.- , base d'être pour le développement humain , basis of being for human development
O:M:.b.- , mésuser du langage , to misuse language
s.a.-k.a.-' , parlement , parliament
E:M:.j.- , cause formelle virtuelle , virtual formal cause
E:S:S:. , jamais , never
k.i.- , don , gift
y.y.-we.h.-' , clarifier la connaissance , to clarify knowledge
l.o.-a.a.-' , réseau de personnes , network of people
m.-S:.U:.-' , peur , fear
A:M:. , agir actuellement , to act actually
M:M:.i.-M:M:.i.-' , fonctions techniques , technical functions
t.i.-f.i.-' , code génétique | ADN , genetic code | DNA
O:M:.A:.- , bouger de façon centrifuge , to move centrifugally
b.o.-x.x.-s.y.-' , études des médias , media studies
m.o.-d.o.-s.u.-' , sincère , sincere
h.o.- , acceptation de la pulsion | libération , acceptance of impulse | liberation
f.u.-n.u.-d.u.-' , attribué , attributed
i.m.- , utiliser des armes , to use weapons
j.wo.- , tournant de la réflexion , reflection turning point
n.i.-f.i.-t.u.-' , pris | possédé , taken | possessed
a.we.- , fonder une famille , to create a family
n.a.-l.a.-f.o.-' , policier , police officer
l.we.- , responsabilité économique , economic responsibility
M:M:.i.- , fonction technique , technical function
f.i.-d.i.-' , détecteur | capteur , detector | sensor
j.M:M:.- , obstacle poétique , poetic obstacle
u.S:.- , voler | voyager dans l'air , to fly | to travel through air
f.o.-h.h.-s.y.-' , bioéthique | éthique médicale , bioethics | medical ethics
E:B:.k.- , à la limite de , at the limit of
E:M:A:. , doit inférentiel , inferential must
e.u.- , délibérer , to deliberate
d.e.-b.i.-' , communication augmentée , augmented communication
a.p.- , s'impliquer dans son sujet , to get involved in one's subject
O:M:.s.- , négliger la pensée , to neglect thought
m.a.-n.a.-f.o.-' , bénévole , volunteer
u. , énoncer , to state
x.O:O:.- , changement matériel génératif , generative material change
d.o.-c.c.-' , manipulation monétaire , monetary manipulation
e.F:.- , placer des objets | déplacer des objets , to place objects | to displace objects
E:M:.M:M:.- , où | lieu lieu selon l'orientation de trajet adverbe | préposition | conjonction , where | place according to path orientation adverb | preposition | conjunction
u.a.- , promettre , to promise
E:A:.m.- , au milieu de , in the middle of
k.o.-s.o.-' , gouvernement , government
b.e.-l.u.-wa.e.-' , compétence en culture scientifique , competence in scientific culture
b.u.-f.u.-' , forme littéraire | genre littéraire , literary form | literary genre
c.y.- , obtention d'un diplôme | obtention de crédit de compétence , obtaining a diploma | obtaining credit for competency
s.o.-p.p.-s.y.-' , théories de l'apprentissage , learning theories
O:O:.i.- , travailler l'équipement , to work on equipment
E:S:B:. , parfois , sometimes
n.o.-a.a.-' , vie personnelle , personal life
y.a.-we.h.-' , innover en matière sociale , to innovate in social matters
f.u.-t.u.-' , note de musique , musical note
a.M:O:.- , s'engager dans sa production , to commit to one's production
e.M:O:.- , maîtriser sa production , to master one's production
y.U:.- , plier | envelopper , to fold | to wrap
wu.wa.- , être jeune , to be young
M:O:.c.- , transformation dans le rapport social , transformation in the social relationship
m.o.-f.o.-s.u.-' , séduisant , seductive
f.o.-t.o.-s.u.-' , en croissance , growing
E:U:O:. , mode déconstructif , deconstructive mode
wa.l.- , étendre la portée de son action , to increase one's range of action
d.a.-t.a.-f.o.-' , banquier , banker
e.O:M:.-we.h.-' , perfectionner l'intelligence collective en utilisant le pouvoir , to improve collective intelligence by using power
n.u.-s.u.-d.u.-' , total | intégral , total | integral
s.e.- , maîtrise des codes grammaire , mastery of codes grammar
f.e.-m.i.-' , goût , taste
l.o.-f.o.-s.u.-' , résidant , resident
f.o.-c.c.-' , relations de genre , gender relations
n.e.-l.a.-' , sécurité collective , collective security | collective safety
d.j.- , originalité | expression distincte , originality | distinct expression
O:O:.S:.- , contrôler l'expérience visuelle , to control visual experience
d.u.-l.u.-d.u.-' , soupçonné , suspected
t.o.-i.i.-s.y.-' , modèle prédictif , predictive model
E:S:.b.- , source , source
u.e.-we.h.-' , produire du matériel didactique , to produce didactic materials
t.c.- , legs politique | tradition politique , political legacy | political tradition
S:M:.O:M:.- , base de signe pour le développement humain , basis of sign for human development
k.e.-t.a.-wa.e.-' , compétence en entraînement de la mémoire , competence in memory training
t.a.-b.a.-f.o.-' , éditeur , editor | publisher
l.O:M:.- , espace actualisé , neglect space
b.o.-d.o.-' , clarté , clarity
E:+A:+B: , réseaux personnels fictifs , fictitious personal networks
t.o.-j.j.-' , forme de conscience , form of consciousness
l.-B:.A:.-' , ouest spatial , spatial west
i.we.- , équiper un ménage , to equip a household
l.a.-n.a.-f.o.-' , défenseur , defender
b.-T:.U:.-' , blanc , white
d.O:O:.- , sources du sens dans la rigueur , sources of meaning in rigor
M:O:.t.- , obstacle dans le temps , obstacle in time
c.l.- , exil , exile
k.e.-s.a.-' , autonomie psychique , psychic autonomy
wa.y.- , maîtriser les savoirs , to master knowledge
n.o.-d.o.-s.u.-' , évalué | estimé , evaluated | assessed
d.u.-f.u.-' , présence , presence
p.k.- , fermeture d'entreprise | rupture de contrat | faillite , company closing down | breach of contract | bankruptcy
M:M:.o.-y.y.-s.y.-' , connaissance des arts et des sciences , knowledge of arts and sciences
E:T:.M:O:.- , cause réalisante , realizing cause
E:A:.wo.- , mon | ton | son , my | your | its
n.o.-f.o.-' , santé , health
we.d.- , adopter un système de mesure , to adopt a measurement system
x. , mutation matérielle , material mutation
y.O:M:.-we.h.-' , perfectionner l'intelligence collective en s'appuyant sur le savoir , to improve collective intelligence by relying on knowledge
f.i.-t.i.-t.u.-' , nourri , fed
s.a.-s.a.-' , ordre symbolique , symbolic order
d.u.-t.u.-' , hyperlien , hyperlink
b.a.-s.a.-' , lecture , reading
e.h.- , suivre une méthode d'interprétation , to follow a method of interpretation
l.o.-x.x.-' , fourniture à  grande échelle , supply on a large scale
O:O:.wa.- , porter fruit , to flourish
s.-T:.U:.-' , sec , dry
wu.o.- , se remettre en question , to question oneself
n.u.-k.u.-' , vertu , virtue
n.o.- , volonté de cosmos , will for cosmos
k.i.-b.i.-' , système d'exploitation , operating system
s.e.-f.u.-' , performance musicale , musical performance
M:A:. , mutation actuelle , actual mutation
wo.j.- , envisager d'autres systèmes symboliques , to consider other symbolic systems
h.b.- , langage manipulateur | manipulation , manipulative language | manipulation
y. , savoir , to know
